name,Median Home Value,Median Household Income,Total Commuters,Car Commuters,Public Transit Commuters,Bicycle Commuters,Walking Commuters,Other Commuters,Worked at Home,Total Population,Born in State of Residence,Born in other US State,Born in US territories,Born in other Country
"Aberdeen, SD Micro Area",195700,70693,22377,19725,42,63,911,285,1351,42292,30077,9454,664,2097
"Aberdeen, WA Micro Area",249900,59105,28624,24319,309,243,1119,233,2401,75672,47965,23038,1078,3591
"Abilene, TX Metro Area",158300,61924,82753,74070,289,394,1416,766,5818,176656,121841,41520,1956,11339
"Ada, OK Micro Area",151500,59457,17006,15441,30,35,741,217,542,38116,26914,10291,230,681
"Adrian, MI Micro Area",168100,65484,42860,38180,64,47,1104,319,3146,99263,73765,22547,701,2250
"Aguadilla-Isabela, PR Metro Area",109300,19455,86871,78843,327,275,2703,610,4113,308919,0,22813,283272,2834
"Akron, OH Metro Area",185800,68647,345726,295938,3132,374,5236,5236,38128,700578,537769,123077,4893,34839
"Alamogordo, NM Micro Area",139100,50833,26803,24456,104,21,772,175,1275,67850,25017,35006,1323,6504
"Albany, GA Metro Area",139900,53173,60460,55121,492,84,838,786,3139,147716,112523,30461,875,3857
"Albany-Lebanon, OR Metro Area",319800,69523,56684,49178,146,209,1149,941,5061,128598,74044,48297,822,5435
"Albany-Schenectady-Troy, NY Metro Area",254100,83360,448347,363821,13066,932,14191,4015,52322,901729,674719,141962,9807,75241
"Albemarle, NC Micro Area",190700,60634,28124,25872,15,0,329,100,1808,62723,47797,12043,388,2495
"Albert Lea, MN Micro Area",154700,65679,14440,12790,24,82,416,146,982,30857,23051,6108,186,1512
"Albertville, AL Micro Area",165600,58272,40866,38133,91,10,140,160,2332,97923,67718,22481,725,6999
"Albuquerque, NM Metro Area",242600,63971,421395,355807,4424,2466,6970,4870,46858,915968,502343,317279,12700,83646
"Alexander City, AL Micro Area",122900,53054,19239,18045,30,17,184,134,829,51580,41732,8992,105,751
"Alexandria, LA Metro Area",166300,55650,62299,54976,1243,61,1498,2236,2285,151721,121953,24821,952,3995
"Alexandria, MN Micro Area",277800,72472,19442,16849,29,123,404,120,1917,39081,31290,7114,109,568
"Alice, TX Micro Area",89200,46922,18380,16456,2,0,298,258,1366,49020,43534,3296,254,1936
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",258000,78597,418499,353368,5677,670,9556,5774,43454,863166,522424,216482,36933,87327
"Alma, MI Micro Area",126500,57934,16782,14747,91,117,571,105,1151,41534,36177,4635,165,557
"Alpena, MI Micro Area",128000,49133,11893,10322,104,119,211,309,828,28911,25140,3218,116,437
"Altoona, PA Metro Area",149300,59386,56376,50709,415,90,1691,380,3091,122640,107352,13287,506,1495
"Altus, OK Micro Area",115200,60954,11658,10872,5,38,152,197,394,24776,12117,10883,408,1368
"Amarillo, TX Metro Area",180600,64147,126334,115273,327,254,1822,1564,7094,269278,180830,59658,3106,25684
"Americus, GA Micro Area",134200,39867,13700,12278,0,2,221,212,987,33943,27631,5178,230,904
"Ames, IA Metro Area",216000,68107,65430,52068,2554,639,3512,359,6298,125273,82588,32508,965,9212
"Amsterdam, NY Micro Area",132300,58033,21665,18528,55,108,748,573,1653,49624,40025,6335,1717,1547
"Anchorage, AK Metro Area",344500,93016,194537,163267,2335,1352,4483,5780,17320,399335,160325,193104,10635,35271
"Andrews, TX Micro Area",179300,86458,9009,8552,9,0,29,186,233,18362,11064,3933,143,3222
"Angola, IN Micro Area",187500,68837,16098,14802,46,61,485,124,580,34507,21039,12673,297,498
"Ann Arbor, MI Metro Area",336300,84245,184417,129000,7199,2048,12011,1406,32753,370231,222059,97453,4663,46056
"Anniston-Oxford, AL Metro Area",140500,54339,48898,46250,286,0,592,200,1570,116162,82232,29722,1510,2698
"Appleton, WI Metro Area",226600,79958,129630,112819,507,489,2565,1092,12158,242972,192650,39928,1241,9153
"Arcadia, FL Micro Area",139500,45000,12092,10575,162,121,307,158,769,34258,17706,11664,459,4429
"Ardmore, OK Micro Area",146500,56968,25250,23526,81,27,369,401,846,58360,36549,19056,442,2313
"Arecibo, PR Metro Area",107400,22368,55664,51868,166,17,445,258,2910,181820,0,12065,168463,1292
"Arkadelphia, AR Micro Area",143300,48071,9777,8408,50,0,685,108,526,21469,14532,6078,395,464
"Asheville, NC Metro Area",295000,64538,220222,186017,1178,289,3923,2668,26147,469484,239074,198356,5097,26957
"Ashland, OH Micro Area",163600,62254,24322,21540,65,131,736,462,1388,52522,44629,7050,178,665
"Ashtabula, OH Micro Area",139000,53663,40922,37600,105,45,687,963,1522,97666,76535,18407,1145,1579
"Astoria, OR Micro Area",407700,68025,18276,14480,156,86,1452,251,1851,41190,18595,20163,331,2101
"Atchison, KS Micro Area",123400,55281,7614,6713,0,0,368,35,498,16309,10804,5185,75,245
"Athens, OH Micro Area",161700,48750,27395,20649,290,345,3377,207,2527,61276,44309,14115,401,2451
"Athens, TN Micro Area",173300,57982,22261,20903,0,0,204,72,1082,53532,34053,17456,387,1636
"Athens, TX Micro Area",159600,59778,33007,29553,139,0,424,309,2582,82627,60463,17752,544,3868
"Athens-Clarke County, GA Metro Area",252300,59130,102619,85063,1578,693,3364,1036,10885,216194,133169,64262,2249,16514
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",299800,82625,3004626,2369846,62737,4013,34454,50608,482968,6094752,2858719,2269166,98281,868586
"Atlantic City-Hammonton, NJ Metro Area",254100,73113,126468,105653,5102,609,4073,1934,9097,274339,156743,65460,8825,43311
"Atmore, AL Micro Area",122000,41153,12733,12469,38,3,80,38,105,36755,28265,8018,203,269
"Auburn, IN Micro Area",157700,68110,21137,19752,20,52,238,278,797,43312,33584,9137,157,434
"Auburn, NY Micro Area",158900,63227,34081,29868,214,28,1258,547,2166,76171,65768,8203,425,1775
"Auburn-Opelika, AL Metro Area",224400,59288,80729,71426,510,89,2280,628,5796,175126,89657,72975,2492,10002
"Augusta-Richmond County, GA-SC Metro Area",186700,62941,273841,242650,2101,335,3412,5469,19874,612898,319457,253455,13087,26899
"Augusta-Waterville, ME Micro Area",198300,62118,59235,49742,60,39,1708,593,7093,124003,87253,32401,1277,3072
"Austin, MN Micro Area",158000,66972,19181,17027,210,33,637,151,1123,40082,26435,8713,475,4459
"Austin-Round Rock-Georgetown, TX Metro Area",390500,92939,1235739,919872,16182,6168,22067,16228,255222,2296377,1205538,692453,45038,353348
"Bainbridge, GA Micro Area",140800,47383,10902,10190,30,58,138,259,227,29063,21482,6566,111,904
"Bakersfield, CA Metro Area",282800,63883,351806,320120,2179,647,3116,3751,21993,906883,613886,104797,9584,178616
"Baltimore-Columbia-Towson, MD Metro Area",357800,94167,1423931,1112096,61628,2973,30994,20447,195793,2840005,1682305,808348,48091,301261
"Bangor, ME Metro Area",176700,59438,72207,61109,290,343,2477,1209,6779,152640,105676,40612,1724,4628
"Baraboo, WI Micro Area",227500,72930,33750,29454,63,111,1047,483,2592,65664,49300,13839,474,2051
"Bardstown, KY Micro Area",204000,66212,22182,20585,10,0,224,339,1024,46779,36856,8612,424,887
